859,CA-2015-141901,09-08-2015,14-08-2015,Standard Class,GM-14500,Gene McClure,Consumer,United States,Fresno,California,93727,West,OFF-PA-10001667,Office Supplies,Paper,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),5.98,2015,,,,,,,,
860,CA-2015-161249,09-08-2015,13-08-2015,Standard Class,RD-19720,Roger Demir,Consumer,United States,Phoenix,Arizona,85023,West,OFF-FA-10004838,Office Supplies,Fasteners,"Super Bands, 12/Pack",4.464,2015,,,,,,,,
861,CA-2015-161249,09-08-2015,13-08-2015,Standard Class,RD-19720,Roger Demir,Consumer,United States,Phoenix,Arizona,85023,West,OFF-BI-10001097,Office Supplies,Binders,Avery Hole Reinforcements,9.345,2015,,,,,,,,
862,CA-2015-127012,11-08-2015,15-08-2015,Standard Class,GM-14680,Greg Matthias,Consumer,United States,Seattle,Washington,98105,West,FUR-FU-10003691,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Ebony",12.35,2015,,,,,,,,
863,CA-2015-127012,11-08-2015,15-08-2015,Standard Class,GM-14680,Greg Matthias,Consumer,United States,Seattle,Washington,98105,West,OFF-AR-10003903,Office Supplies,Art,Sanford 52201 APSCO Electric Pencil Sharpener,40.97,2015,,,,,,,,
864,CA-2015-127012,11-08-2015,15-08-2015,Standard Class,GM-14680,Greg Matthias,Consumer,United States,Seattle,Washington,98105,West,OFF-FA-10004854,Office Supplies,Fasteners,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",22.96,2015,,,,,,,,
865,CA-2015-154641,11-08-2015,16-08-2015,Standard Class,KL-16645,Ken Lonsdale,Consumer,United States,New York City,New York,10035,East,OFF-ST-10004459,Office Supplies,Storage,Tennsco Single-Tier Lockers,375.34,2015,,,,,,,,
866,CA-2015-109302,12-08-2015,16-08-2015,Standard Class,CS-12175,Charles Sheldon,Corporate,United States,Lakewood,New Jersey,8701,East,OFF-BI-10002854,Office Supplies,Binders,"Performers Binder/Pad Holder, Black",196.21,2015,,,,,,,,
867,CA-2015-109897,12-08-2015,16-08-2015,Standard Class,BW-11200,Ben Wallace,Consumer,United States,San Francisco,California,94122,West,TEC-PH-10003691,Technology,Phones,BlackBerry Q10,806.336,2015,,,,,,,,
868,CA-2015-109897,12-08-2015,16-08-2015,Standard Class,BW-11200,Ben Wallace,Consumer,United States,San Francisco,California,94122,West,FUR-FU-10002878,Furniture,Furnishings,"\Seth Thomas 14\""\"" Day/Date Wall Clock\""""",85.44,2015,,,,,,,,
869,CA-2015-156244,12-08-2015,16-08-2015,Standard Class,DH-13675,Duane Huffman,Home Office,United States,Miami,Florida,33180,South,OFF-PA-10000295,Office Supplies,Paper,Xerox 229,31.104,2015,,,,,,,,
870,CA-2015-156244,12-08-2015,16-08-2015,Standard Class,DH-13675,Duane Huffman,Home Office,United States,Miami,Florida,33180,South,OFF-AR-10004344,Office Supplies,Art,Bulldog Vacuum Base Pencil Sharpener,47.96,2015,,,,,,,,
871,CA-2015-156244,12-08-2015,16-08-2015,Standard Class,DH-13675,Duane Huffman,Home Office,United States,Miami,Florida,33180,South,TEC-AC-10002473,Technology,Accessories,Maxell 4.7GB DVD-R,158.928,2015,,,,,,,,
872,CA-2015-156244,12-08-2015,16-08-2015,Standard Class,DH-13675,Duane Huffman,Home Office,United States,Miami,Florida,33180,South,OFF-AP-10002403,Office Supplies,Appliances,Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,211.248,2015,,,,,,,,
873,CA-2015-156244,12-08-2015,16-08-2015,Standard Class,DH-13675,Duane Huffman,Home Office,United States,Miami,Florida,33180,South,OFF-SU-10000432,Office Supplies,Supplies,Acco Side-Punched Conventional Columnar Pads,5.552,2015,,,,,,,,
874,CA-2015-156244,12-08-2015,16-08-2015,Standard Class,DH-13675,Duane Huffman,Home Office,United States,Miami,Florida,33180,South,OFF-LA-10000443,Office Supplies,Labels,Avery 501,2.952,2015,,,,,,,,
875,CA-2015-138023,15-08-2015,18-08-2015,First Class,KH-16510,Keith Herrera,Consumer,United States,Dallas,Texas,75081,Central,OFF-BI-10003638,Office Supplies,Binders,GBC Durable Plastic Covers,30.96,2015,,,,,,,,
876,CA-2015-141005,15-08-2015,18-08-2015,First Class,CS-12355,Christine Sundaresam,Consumer,United States,Fairfield,Connecticut,6824,East,OFF-BI-10001989,Office Supplies,Binders,Premium Transparent Presentation Covers by GBC,62.94,2015,,,,,,,,
877,CA-2015-109043,15-08-2015,17-08-2015,First Class,CS-12355,Christine Sundaresam,Consumer,United States,Hollywood,Florida,33021,South,OFF-PA-10000312,Office Supplies,Paper,Xerox 1955,91.36,2015,,,,,,,,
878,CA-2015-109043,15-08-2015,17-08-2015,First Class,CS-12355,Christine Sundaresam,Consumer,United States,Hollywood,Florida,33021,South,OFF-AP-10004708,Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,152.24,2015,,,,,,,,
879,CA-2015-142839,16-08-2015,20-08-2015,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Philadelphia,Pennsylvania,19143,East,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,853.092,2015,,,,,,,,
880,CA-2015-129168,17-08-2015,23-08-2015,Standard Class,KB-16585,Ken Black,Corporate,United States,Houston,Texas,77095,Central,OFF-PA-10001639,Office Supplies,Paper,Xerox 203,15.552,2015,,,,,,,,
881,CA-2015-111500,17-08-2015,21-08-2015,Standard Class,DJ-13510,Don Jones,Corporate,United States,Little Rock,Arkansas,72209,South,OFF-PA-10000595,Office Supplies,Paper,Xerox 1929,114.2,2015,,,,,,,,
882,CA-2015-111500,17-08-2015,21-08-2015,Standard Class,DJ-13510,Don Jones,Corporate,United States,Little Rock,Arkansas,72209,South,OFF-BI-10000829,Office Supplies,Binders,Avery Non-Stick Binders,17.96,2015,,,,,,,,
883,CA-2015-111500,17-08-2015,21-08-2015,Standard Class,DJ-13510,Don Jones,Corporate,United States,Little Rock,Arkansas,72209,South,OFF-FA-10002676,Office Supplies,Fasteners,Colored Push Pins,12.67,2015,,,,,,,,
884,CA-2015-111500,17-08-2015,21-08-2015,Standard Class,DJ-13510,Don Jones,Corporate,United States,Little Rock,Arkansas,72209,South,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,2015,,,,,,,,
885,CA-2015-121727,19-08-2015,24-08-2015,Standard Class,JK-15625,Jim Karlsson,Consumer,United States,Columbus,Ohio,43229,East,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,10.72,2015,,,,,,,,
886,US-2015-164616,19-08-2015,21-08-2015,Second Class,MS-17770,Maxwell Schwartz,Consumer,United States,Columbus,Ohio,43229,East,OFF-BI-10001718,Office Supplies,Binders,GBC DocuBind P50 Personal Binding Machine,76.776,2015,,,,,,,,
887,US-2015-164616,19-08-2015,21-08-2015,Second Class,MS-17770,Maxwell Schwartz,Consumer,United States,Columbus,Ohio,43229,East,OFF-SU-10004768,Office Supplies,Supplies,Acme Kleencut Forged Steel Scissors,9.184,2015,,,,,,,,
888,US-2015-156559,19-08-2015,26-08-2015,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Jonesboro,Arkansas,72401,South,FUR-BO-10000711,Furniture,Bookcases,"Hon Metal Bookcases, Gray",638.82,2015,,,,,,,,
889,CA-2015-133158,19-08-2015,21-08-2015,Second Class,DW-13195,David Wiener,Corporate,United States,Los Angeles,California,90045,West,FUR-FU-10000723,Furniture,Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",289.24,2015,,,,,,,,
890,CA-2015-133158,19-08-2015,21-08-2015,Second Class,DW-13195,David Wiener,Corporate,United States,Los Angeles,California,90045,West,OFF-BI-10000632,Office Supplies,Binders,Satellite Sectional Post Binders,69.456,2015,,,,,,,,
891,US-2015-143581,19-08-2015,23-08-2015,Standard Class,BS-11365,Bill Shonely,Corporate,United States,Columbus,Georgia,31907,South,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,344.91,2015,,,,,,,,
892,CA-2015-166716,20-08-2015,25-08-2015,Second Class,CR-12730,Craig Reiter,Consumer,United States,Chicago,Illinois,60610,Central,FUR-CH-10004495,Furniture,Chairs,"Global Leather and Oak Executive Chair, Black",421.372,2015,,,,,,,,
893,CA-2015-114321,20-08-2015,25-08-2015,Standard Class,NC-18535,Nick Crebassa,Corporate,United States,Hampton,Virginia,23666,South,FUR-CH-10001797,Furniture,Chairs,"Safco Chair Connectors, 6/Carton",500.24,2015,,,,,,,,
894,CA-2015-114321,20-08-2015,25-08-2015,Standard Class,NC-18535,Nick Crebassa,Corporate,United States,Hampton,Virginia,23666,South,OFF-PA-10000246,Office Supplies,Paper,Riverleaf Stik-Withit Designer Note Cubes,20.12,2015,,,,,,,,
895,CA-2015-114321,20-08-2015,25-08-2015,Standard Class,NC-18535,Nick Crebassa,Corporate,United States,Hampton,Virginia,23666,South,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,896.99,2015,,,,,,,,
896,CA-2015-123253,22-08-2015,25-08-2015,Second Class,DE-13255,Deanra Eno,Home Office,United States,Lakewood,Ohio,44107,East,OFF-AR-10002804,Office Supplies,Art,Faber Castell Col-Erase Pencils,3.912,2015,,,,,,,,
897,CA-2015-130918,22-08-2015,24-08-2015,Second Class,JP-15520,Jeremy Pistek,Consumer,United States,North Miami,Florida,33161,South,OFF-SU-10003936,Office Supplies,Supplies,Acme Serrated Blade Letter Opener,7.632,2015,,,,,,,,
898,US-2015-166828,22-08-2015,25-08-2015,First Class,JF-15415,Jennifer Ferguson,Consumer,United States,Saint Charles,Missouri,63301,Central,OFF-PA-10001846,Office Supplies,Paper,Xerox 1899,11.56,2015,,,,,,,,
899,CA-2015-110639,23-08-2015,23-08-2015,Same Day,RH-19495,Rick Hansen,Consumer,United States,New York City,New York,10009,East,OFF-PA-10003936,Office Supplies,Paper,Xerox 1994,25.92,2015,,,,,,,,
900,CA-2015-110639,23-08-2015,23-08-2015,Same Day,RH-19495,Rick Hansen,Consumer,United States,New York City,New York,10009,East,OFF-PA-10004530,Office Supplies,Paper,Personal Creations Ink Jet Cards and Labels,45.92,2015,,,,,,,,
901,CA-2015-154837,23-08-2015,27-08-2015,Second Class,RB-19645,Robert Barroso,Corporate,United States,Los Angeles,California,90032,West,OFF-BI-10001575,Office Supplies,Binders,GBC Linen Binding Covers,49.568,2015,,,,,,,,
902,CA-2015-124737,23-08-2015,27-08-2015,Standard Class,AP-10915,Arthur Prichep,Consumer,United States,Denver,Colorado,80219,West,OFF-PA-10001837,Office Supplies,Paper,Xerox 1976,15.552,2015,,,,,,,,
903,CA-2015-124737,23-08-2015,27-08-2015,Standard Class,AP-10915,Arthur Prichep,Consumer,United States,Denver,Colorado,80219,West,OFF-SU-10004661,Office Supplies,Supplies,Acme Titanium Bonded Scissors,6.8,2015,,,,,,,,
904,CA-2015-124737,23-08-2015,27-08-2015,Standard Class,AP-10915,Arthur Prichep,Consumer,United States,Denver,Colorado,80219,West,FUR-FU-10003274,Furniture,Furnishings,Regeneration Desk Collection,4.224,2015,,,,,,,,
905,CA-2015-124737,23-08-2015,27-08-2015,Standard Class,AP-10915,Arthur Prichep,Consumer,United States,Denver,Colorado,80219,West,TEC-PH-10000149,Technology,Phones,Cisco SPA525G2 IP Phone - Wireless,143.64,2015,,,,,,,,
906,CA-2015-124737,23-08-2015,27-08-2015,Standard Class,AP-10915,Arthur Prichep,Consumer,United States,Denver,Colorado,80219,West,OFF-PA-10000019,Office Supplies,Paper,Xerox 1931,31.104,2015,,,,,,,,
907,CA-2015-124737,23-08-2015,27-08-2015,Standard Class,AP-10915,Arthur Prichep,Consumer,United States,Denver,Colorado,80219,West,OFF-PA-10001125,Office Supplies,Paper,Xerox 1988,223.056,2015,,,,,,,,
908,US-2015-112795,23-08-2015,28-08-2015,Second Class,CR-12625,Corey Roper,Home Office,United States,Grand Rapids,Michigan,49505,Central,OFF-PA-10001934,Office Supplies,Paper,Xerox 1993,19.44,2015,,,,,,,,
909,CA-2015-106719,24-08-2015,24-08-2015,Same Day,RB-19645,Robert Barroso,Corporate,United States,Billings,Montana,59102,West,OFF-BI-10002799,Office Supplies,Binders,"SlimView Poly Binder, 3/8\\""""",8.288,2015,,,,,,,,
910,CA-2015-107916,24-08-2015,26-08-2015,First Class,JP-15460,Jennifer Patt,Corporate,United States,Oceanside,New York,11572,East,FUR-FU-10004586,Furniture,Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,13.28,2015,,,,,,,,
911,CA-2015-107916,24-08-2015,26-08-2015,First Class,JP-15460,Jennifer Patt,Corporate,United States,Oceanside,New York,11572,East,OFF-BI-10001116,Office Supplies,Binders,"\Wilson Jones 1\""\"" Hanging DublLock Ring Binders\""""",12.672,2015,,,,,,,,
912,CA-2015-120432,24-08-2015,26-08-2015,Second Class,DW-13585,Dorothy Wardle,Corporate,United States,Owensboro,Kentucky,42301,South,OFF-SU-10004661,Office Supplies,Supplies,Acme Titanium Bonded Scissors,25.5,2015,,,,,,,,
913,CA-2015-115259,25-08-2015,27-08-2015,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,2015,,,,,,,,
914,CA-2015-115259,25-08-2015,27-08-2015,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2015,,,,,,,,
915,CA-2015-115259,25-08-2015,27-08-2015,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,23.976,2015,,,,,,,,
916,CA-2015-115259,25-08-2015,27-08-2015,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,2015,,,,,,,,
917,CA-2015-104178,25-08-2015,29-08-2015,Standard Class,JM-15265,Janet Molinari,Corporate,United States,Los Angeles,California,90036,West,FUR-FU-10000771,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Smoke",6.28,2015,,,,,,,,
918,CA-2015-104178,25-08-2015,29-08-2015,Standard Class,JM-15265,Janet Molinari,Corporate,United States,Los Angeles,California,90036,West,TEC-AC-10002399,Technology,Accessories,SanDisk Cruzer 32 GB USB Flash Drive,95.1,2015,,,,,,,,
919,CA-2015-104178,25-08-2015,29-08-2015,Standard Class,JM-15265,Janet Molinari,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-10004983,Office Supplies,Paper,Xerox 23,25.92,2015,,,,,,,,
920,CA-2015-104178,25-08-2015,29-08-2015,Standard Class,JM-15265,Janet Molinari,Corporate,United States,Los Angeles,California,90036,West,OFF-ST-10004258,Office Supplies,Storage,Portable Personal File Box,48.84,2015,,,,,,,,
921,CA-2015-103660,25-08-2015,30-08-2015,Standard Class,MW-18220,Mitch Webber,Consumer,United States,Seattle,Washington,98103,West,TEC-PH-10000895,Technology,Phones,Polycom VVX 310 VoIP phone,1007.944,2015,,,,,,,,
922,CA-2015-126200,25-08-2015,29-08-2015,Standard Class,JE-15715,Joe Elijah,Consumer,United States,Houston,Texas,77070,Central,OFF-BI-10002133,Office Supplies,Binders,"\Wilson Jones Elliptical Ring 3 1/2\""\"" Capacity Binders""","800 sheets\"",2015
923,CA-2015-126200,2015-08-25,2015-08-29,Standard Class,JE-15715,Joe Elijah,Consumer,United States,Houston,Texas,77070,Central,OFF-BI-10002225,Office Supplies,Binders,\""Square Ring Data Binders", Rigid 75 Pt. Covers," 11\""\"" x 14-7/8\""\""\""""",12.384,2015,,,,,
924,CA-2015-107398,25-08-2015,30-08-2015,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Columbus,Ohio,43229,East,OFF-BI-10001982,Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels,6.528,2015,,,,,,,,
925,CA-2015-107398,25-08-2015,30-08-2015,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Columbus,Ohio,43229,East,OFF-BI-10004141,Office Supplies,Binders,Insertable Tab Indexes For Data Binders,2.862,2015,,,,,,,,
926,CA-2015-107398,25-08-2015,30-08-2015,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Columbus,Ohio,43229,East,OFF-BI-10002103,Office Supplies,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",20.856,2015,,,,,,,,
927,CA-2015-123260,26-08-2015,30-08-2015,Standard Class,FM-14290,Frank Merwin,Home Office,United States,Los Angeles,California,90032,West,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8,2015,,,,,,,,
928,CA-2015-103331,26-08-2015,01-09-2015,Standard Class,KB-16315,Karl Braun,Consumer,United States,Newark,Delaware,19711,East,FUR-FU-10001731,Furniture,Furnishings,Acrylic Self-Standing Desk Frames,10.68,2015,,,,,,,,
929,CA-2015-103331,26-08-2015,01-09-2015,Standard Class,KB-16315,Karl Braun,Consumer,United States,Newark,Delaware,19711,East,OFF-PA-10002160,Office Supplies,Paper,Xerox 1978,17.34,2015,,,,,,,,
930,CA-2015-103331,26-08-2015,01-09-2015,Standard Class,KB-16315,Karl Braun,Consumer,United States,Newark,Delaware,19711,East,OFF-PA-10002659,Office Supplies,Paper,Avoid Verbal Orders Carbonless Minifold Book,3.38,2015,,,,,,,,
931,US-2015-115413,26-08-2015,01-09-2015,Standard Class,PP-18955,Paul Prost,Home Office,United States,Newark,Delaware,19711,East,OFF-AR-10003770,Office Supplies,Art,Newell 340,8.64,2015,,,,,,,,
932,US-2015-115413,26-08-2015,01-09-2015,Standard Class,PP-18955,Paul Prost,Home Office,United States,Newark,Delaware,19711,East,TEC-AC-10002800,Technology,Accessories,Plantronics Audio 478 Stereo USB Headset,149.97,2015,,,,,,,,
933,CA-2015-143336,27-08-2015,01-09-2015,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2015,,,,,,,,
934,CA-2015-143336,27-08-2015,01-09-2015,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,2015,,,,,,,,
935,CA-2015-143336,27-08-2015,01-09-2015,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1\\""""",22.72,2015,,,,,,,,
936,CA-2015-124688,27-08-2015,29-08-2015,First Class,CC-12610,Corey Catlett,Corporate,United States,Springfield,Virginia,22153,South,TEC-PH-10000455,Technology,Phones,GE 30522EE2,579.95,2015,,,,,,,,
937,CA-2015-124688,27-08-2015,29-08-2015,First Class,CC-12610,Corey Catlett,Corporate,United States,Springfield,Virginia,22153,South,FUR-FU-10002456,Furniture,Furnishings,"Master Caster Door Stop, Large Neon Orange",29.12,2015,,,,,,,,
938,CA-2015-124688,27-08-2015,29-08-2015,First Class,CC-12610,Corey Catlett,Corporate,United States,Springfield,Virginia,22153,South,FUR-TA-10003569,Furniture,Tables,Bretford CR8500 Series Meeting Room Furniture,1202.94,2015,,,,,,,,
939,CA-2015-101266,27-08-2015,30-08-2015,Second Class,MM-17920,Michael Moore,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10002986,Office Supplies,Paper,Xerox 1898,13.36,2015,,,,,,,,
940,CA-2015-135699,29-08-2015,29-08-2015,Same Day,HH-15010,Hilary Holden,Corporate,United States,San Francisco,California,94110,West,OFF-PA-10004475,Office Supplies,Paper,Xerox 1940,109.92,2015,,,,,,,,
941,CA-2015-135699,29-08-2015,29-08-2015,Same Day,HH-15010,Hilary Holden,Corporate,United States,San Francisco,California,94110,West,OFF-PA-10003001,Office Supplies,Paper,Xerox 1986,13.36,2015,,,,,,,,
942,CA-2015-169775,29-08-2015,02-09-2015,Second Class,RA-19945,Ryan Akin,Consumer,United States,Miami,Florida,33178,South,OFF-EN-10001749,Office Supplies,Envelopes,Jiffy Padded Mailers with Self-Seal Closure,29.808,2015,,,,,,,,
943,CA-2015-169775,29-08-2015,02-09-2015,Second Class,RA-19945,Ryan Akin,Consumer,United States,Miami,Florida,33178,South,OFF-BI-10004390,Office Supplies,Binders,GBC DocuBind 200 Manual Binding Machine,505.176,2015,,,,,,,,
944,CA-2015-169775,29-08-2015,02-09-2015,Second Class,RA-19945,Ryan Akin,Consumer,United States,Miami,Florida,33178,South,FUR-TA-10001857,Furniture,Tables,Balt Solid Wood Rectangular Table,174.0585,2015,,,,,,,,
945,CA-2015-146500,30-08-2015,04-09-2015,Standard Class,AT-10735,Annie Thurman,Consumer,United States,Bristol,Connecticut,6010,East,OFF-BI-10002432,Office Supplies,Binders,Wilson Jones Standard D-Ring Binders,25.3,2015,,,,,,,,
946,CA-2015-146500,30-08-2015,04-09-2015,Standard Class,AT-10735,Annie Thurman,Consumer,United States,Bristol,Connecticut,6010,East,OFF-ST-10000563,Office Supplies,Storage,Fellowes Bankers Box Stor/Drawer Steel Plus,95.94,2015,,,,,,,,
947,CA-2015-143385,31-08-2015,05-09-2015,Standard Class,SJ-20500,Shirley Jackson,Consumer,United States,Santa Fe,New Mexico,87505,West,TEC-AC-10001635,Technology,Accessories,KeyTronic KT400U2 - Keyboard - Black,92.52,2015,,,,,,,,
948,CA-2015-126522,01-09-2015,05-09-2015,Second Class,LT-16765,Larry Tron,Consumer,United States,Escondido,California,92025,West,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",53.94,2015,,,,,,,,
949,CA-2015-165428,01-09-2015,04-09-2015,First Class,JL-15130,Jack Lebron,Consumer,United States,Houston,Texas,77036,Central,OFF-BI-10002949,Office Supplies,Binders,Prestige Round Ring Binders,3.648,2015,,,,,,,,
950,CA-2015-165428,01-09-2015,04-09-2015,First Class,JL-15130,Jack Lebron,Consumer,United States,Houston,Texas,77036,Central,OFF-PA-10004100,Office Supplies,Paper,Xerox 216,31.104,2015,,,,,,,,
951,CA-2015-109855,01-09-2015,05-09-2015,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004716,Office Supplies,Binders,Wilson Jones Hanging Recycled Pressboard Data Binders,23.744,2015,,,,,,,,
952,CA-2015-109855,01-09-2015,05-09-2015,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,New York City,New York,10009,East,TEC-AC-10002842,Technology,Accessories,WD My Passport Ultra 2TB Portable External Hard Drive,357,2015,,,,,,,,
953,CA-2015-157721,02-09-2015,05-09-2015,First Class,JM-16195,Justin MacKendrick,Consumer,United States,Watertown,New York,13601,East,OFF-AP-10001303,Office Supplies,Appliances,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",19.9,2015,,,,,,,,
954,CA-2015-157721,02-09-2015,05-09-2015,First Class,JM-16195,Justin MacKendrick,Consumer,United States,Watertown,New York,13601,East,FUR-FU-10002116,Furniture,Furnishings,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",70.71,2015,,,,,,,,
955,CA-2015-127936,02-09-2015,04-09-2015,First Class,CL-12565,Clay Ludtke,Consumer,United States,New York City,New York,10009,East,OFF-AR-10002445,Office Supplies,Art,SANFORD Major Accent Highlighters,21.24,2015,,,,,,,,
956,US-2015-138828,02-09-2015,03-09-2015,First Class,KD-16345,Katherine Ducich,Consumer,United States,New York City,New York,10009,East,OFF-AR-10000658,Office Supplies,Art,Newell 324,57.75,2015,,,,,,,,
957,US-2015-138828,02-09-2015,03-09-2015,First Class,KD-16345,Katherine Ducich,Consumer,United States,New York City,New York,10009,East,OFF-PA-10000349,Office Supplies,Paper,Easy-staple paper,14.94,2015,,,,,,,,
958,CA-2015-151792,02-09-2015,07-09-2015,Second Class,CV-12295,Christina VanderZanden,Consumer,United States,Chicago,Illinois,60653,Central,TEC-AC-10001606,Technology,Accessories,Logitech Wireless Performance Mouse MX for PC and Mac,239.976,2015,,,,,,,,
959,CA-2015-158281,02-09-2015,07-09-2015,Standard Class,AG-10525,Andy Gerbode,Corporate,United States,Houston,Texas,77095,Central,TEC-MA-10002210,Technology,Machines,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,559.71,2015,,,,,,,,
960,CA-2015-152268,02-09-2015,07-09-2015,Standard Class,SC-20095,Sanjit Chand,Consumer,United States,Fayetteville,Arkansas,72701,South,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,1793.98,2015,,,,,,,,
961,CA-2015-106971,02-09-2015,08-09-2015,Standard Class,BM-11785,Bryan Mills,Consumer,United States,Buffalo Grove,Illinois,60089,Central,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,475.944,2015,,,,,,,,
962,CA-2015-125171,03-09-2015,03-09-2015,Same Day,AG-10390,Allen Goldenen,Consumer,United States,New York City,New York,10009,East,OFF-LA-10001175,Office Supplies,Labels,Avery 514,14.4,2015,,,,,,,,
963,US-2015-120236,03-09-2015,04-09-2015,First Class,MR-17545,Mathew Reese,Home Office,United States,Houston,Texas,77095,Central,OFF-BI-10004099,Office Supplies,Binders,GBC VeloBinder Strips,7.68,2015,,,,,,,,
964,CA-2015-106572,05-09-2015,10-09-2015,Standard Class,NP-18700,Nora Preis,Consumer,United States,Bowling Green,Ohio,43402,East,OFF-ST-10000585,Office Supplies,Storage,Economy Rollaway Files,264.32,2015,,,,,,,,
965,CA-2015-136861,05-09-2015,07-09-2015,First Class,PR-18880,Patrick Ryan,Consumer,United States,Saint Petersburg,Florida,33710,South,FUR-FU-10001967,Furniture,Furnishings,Telescoping Adjustable Floor Lamp,31.984,2015,,,,,,,,
966,CA-2015-130449,06-09-2015,09-09-2015,First Class,VP-21760,Victoria Pisteka,Corporate,United States,San Francisco,California,94109,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",41.88,2015,,,,,,,,
967,CA-2015-130449,06-09-2015,09-09-2015,First Class,VP-21760,Victoria Pisteka,Corporate,United States,San Francisco,California,94109,West,OFF-LA-10001934,Office Supplies,Labels,Avery 516,58.48,2015,,,,,,,,
968,CA-2015-122882,07-09-2015,13-09-2015,Standard Class,SB-20290,Sean Braxton,Corporate,United States,Philadelphia,Pennsylvania,19134,East,OFF-ST-10002344,Office Supplies,Storage,"\Carina 42\""\""Hx23 3/4\""\""W Media Storage Unit\""""",64.784,2015,,,,,,,,
969,CA-2015-122882,07-09-2015,13-09-2015,Standard Class,SB-20290,Sean Braxton,Corporate,United States,Philadelphia,Pennsylvania,19134,East,TEC-PH-10003589,Technology,Phones,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,32.382,2015,,,,,,,,
970,CA-2015-122882,07-09-2015,13-09-2015,Standard Class,SB-20290,Sean Braxton,Corporate,United States,Philadelphia,Pennsylvania,19134,East,FUR-FU-10000758,Furniture,Furnishings,DAX Natural Wood-Tone Poster Frame,42.368,2015,,,,,,,,
971,CA-2015-122882,07-09-2015,13-09-2015,Standard Class,SB-20290,Sean Braxton,Corporate,United States,Philadelphia,Pennsylvania,19134,East,TEC-MA-10004679,Technology,Machines,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,399.54,2015,,,,,,,,
